year_month,currency,usd_value,proportion
2019-01,Other,506.39266939197364,0.0014735261418424338
2019-01,USD,5375.599999999999,0.01564218363903065
2019-02,AUD,421.9059939796768,0.0012422138234602519
2019-02,CAD,1412.8164292784436,0.004159742036151245
2019-02,EUR,369.689325,0.0010884727793718213
2019-02,GBP,203.41645699089403,0.0005989171483673405
2019-02,HKD,1238.920930151735,0.0036477431645184264
2019-02,JPY,323758.3853691468,0.9532387486917249
2019-02,KRW,654.4173886323201,0.0019267949213136483
2019-02,NT$,2158.512361821321,0.006355287510073728
2019-02,Other,434.92099067037094,0.0012805337549904221
2019-02,USD,8987.41,0.026461546170028303
2019-03,AUD,609.9949441669252,0.0013140523793954593
2019-03,CAD,1318.7615680409117,0.0028408789169656343
2019-03,EUR,345.90314,0.0007451452647335011
