Affiliation,currency,usd_value
HOLOSTARS,Other,58499.410269173444
HOLOSTARS,SGD,20158.909665336225
HOLOSTARS,USD,241109.82
HOLOSTARS English,AUD,12922.941402421975
HOLOSTARS English,CAD,38424.18404921374
HOLOSTARS English,EUR,25033.694510999998
HOLOSTARS English,GBP,10399.645875782795
HOLOSTARS English,HKD,9763.925023410096
HOLOSTARS English,JPY,17874.903778686155
HOLOSTARS English,KRW,3221.964872265261
HOLOSTARS English,NT$,22085.724175391362
HOLOSTARS English,Other,68961.08707096727
HOLOSTARS English,SGD,13056.683443473983
HOLOSTARS English,USD,401444.14
Hacka Doll,JPY,1502.2337395170894
Hacka Doll,KRW,1.7803149606299216
Hanayori Girls' Dormitory,AUD,3013.00212010702
Hanayori Girls' Dormitory,CAD,222.09928170869503
Hanayori Girls' Dormitory,EUR,352.910699
Hanayori Girls' Dormitory,GBP,395.48846551927244
Hanayori Girls' Dormitory,HKD,4926.586778207509
Hanayori Girls' Dormitory,JPY,74182.39724308437
Hanayori Girls' Dormitory,KRW,5408.99578695245
Hanayori Girls' Dormitory,NT$,18831.03388119078
Hanayori Girls' Dormitory,Other,1131.3347800295662
Hanayori Girls' Dormitory,SGD,777.9474674246947
Hanayori Girls' Dormitory,USD,8740.68
Hitsuhima,AUD,37.22708914094966
Hitsuhima,CAD,208.21957166229782
Hitsuhima,EUR,17.3121
Hitsuhima,GBP,61.8804836205245
Hitsuhima,HKD,556.9942013810697
Hitsuhima,JPY,238932.74489884637
Hitsuhima,KRW,119.84880182701636
Hitsuhima,NT$,1177.3972935416748
Hitsuhima,Other,278.3236233426035
Hitsuhima,SGD,1.4803159478435306
Hitsuhima,USD,3279.25
Honey Studio,CAD,38.605310647073985
Honey Studio,JPY,9740.365779036763
Honey Studio,NT$,18.828541969824983
Honey Studio,Other,4.92295700083806
Honey Studio,USD,19.0
HoshiLive,CAD,173.03976947378186
HoshiLive,EUR,5.3925
HoshiLive,GBP,4.563088141818765
HoshiLive,NT$,9.76689673134522
HoshiLive,Other,34.12884053821845
HoshiLive,USD,1250.16
ICETEA,JPY,195.86894467044638
ICETEA,NT$,3.2651995036896695
IGNITE PROJECT,JPY,3.834147377362497
IGNITE PROJECT,Other,303.77250449596335
IRIAM,JPY,17912.743977527276
IRIAM,KRW,8.328833693304535
IRIAM,NT$,123.74183885126573
IRIAM,Other,96.13653290984233
IRIAM,USD,77.95
ISEGYE IDOL,KRW,185.5180227760987
Independant,AUD,18.309169324105405
Independant,CAD,10.01832966207509
Independant,EUR,33.560446
Independant,GBP,23.354910032763446
Independant,JPY,19103.498524819846
Independant,KRW,133.17743393249063
Independant,NT$,123.06042837998422
Independant,Other,399.2344378042482
Independant,SGD,10.178017839861031
Independant,USD,471.93
Independent,AUD,37791.58540300097
Independent,CAD,43111.38193167873
Independent,EUR,46816.532804
Independent,GBP,41888.11265636971
Independent,HKD,78635.7326995805
Independent,JPY,1666424.7959386404
Independent,KRW,31691.154158127018
Independent,NT$,110203.90871998211
Independent,Other,141055.61762619723
Independent,SGD,26935.05002633018
Independent,USD,488018.54
Iwamotochou Geinousha,AUD,1.3900806845965772
Iwamotochou Geinousha,HKD,59.14519462606549
Iwamotochou Geinousha,JPY,15796.611884040696
Iwamotochou Geinousha,NT$,9.730781706130381
Iwamotochou Geinousha,Other,131.31059957122997
Iwamotochou Geinousha,USD,117.0
KAMITSUBAKI STUDIO,AUD,76.66432582737879
KAMITSUBAKI STUDIO,CAD,2.074572994592993
KAMITSUBAKI STUDIO,EUR,19.6626
KAMITSUBAKI STUDIO,HKD,209.65712846605945
KAMITSUBAKI STUDIO,JPY,16270.127385277841
KAMITSUBAKI STUDIO,KRW,14.386286115738836
KAMITSUBAKI STUDIO,NT$,245.16625564540118
KAMITSUBAKI STUDIO,Other,26.205610747034328
KAMITSUBAKI STUDIO,SGD,5.206824137931034
KAMITSUBAKI STUDIO,USD,232.99
KIGI:STUDIO,Other,29.83353788455252
KOUEN,JPY,3178.187794163513
KOUEN,NT$,47.278050208315626
KOUEN,Other,31.578406326859884
KOUEN,USD,121.98
Kaso Shojo,EUR,29.368299999999998
Kaso Shojo,JPY,160.9166177591462
Kaso Shojo,NT$,1.072424394080217
Kaso Shojo,Other,3799.166697307704
Kaso Shojo,USD,1016.63
Kawa Entertainment,AUD,22.045848091360945
Kawa Entertainment,CAD,328.2932445449328
Kawa Entertainment,EUR,489.00807399999997
Kawa Entertainment,GBP,111.17782628299462
Kawa Entertainment,HKD,1.2739028213166144
Kawa Entertainment,JPY,83.56932603926148
Kawa Entertainment,KRW,28.83797246823612
Kawa Entertainment,Other,280.3855150727133
Kawa Entertainment,SGD,2.2379808399462027
Kawa Entertainment,USD,10329.24
Kawaii Music,AUD,7.419375117872634
Kawaii Music,JPY,313.89910370119253
Kawaii Music,USD,19.99
KoMETA,AUD,894.1753749794243
KoMETA,CAD,96.38919283743542
KoMETA,EUR,563.76248
KoMETA,GBP,20.694915999610487
KoMETA,HKD,35.703298276051044
KoMETA,JPY,317.77543198701903
KoMETA,KRW,1.533113711234806
KoMETA,Other,6351.051247483769
KoMETA,SGD,37.59528683587011
KoMETA,USD,2268.91
LITMEDIA,AUD,7.250795895112816
LITMEDIA,CAD,389.5884377071279
LITMEDIA,EUR,63.740410999999995
LITMEDIA,GBP,305.5485991612745
LITMEDIA,HKD,66.98206290455506
LITMEDIA,JPY,41.79236014060151
LITMEDIA,KRW,2671.1887057883155
LITMEDIA,NT$,67.89382072650862
LITMEDIA,Other,952.6310142049338
LITMEDIA,SGD,35.05126770187411
LITMEDIA,USD,11361.789999999999
LIVE UNION,AUD,185.35829599505678
LIVE UNION,CAD,3.9112412534225736
LIVE UNION,EUR,556.859774
LIVE UNION,HKD,2488.994342521673
LIVE UNION,JPY,27146.959775901967
LIVE UNION,KRW,298.0579061537403
LIVE UNION,NT$,12958.107347510755
LIVE UNION,Other,1867.7557569373594
LIVE UNION,SGD,263.9566060098114
LIVE UNION,USD,1179.52
LIVE.exe,KRW,4.314979674500605
LIVE.exe,Other,4.201511507219973
LIVE.exe,USD,5.0
League of เจอเกรียน แห่งประเทศไทย (League of troll of Thailand),Other,64.98686980006518
LiveCartoon,AUD,368.2981958476406
LiveCartoon,CAD,159.1866951368785
LiveCartoon,EUR,32.224192
LiveCartoon,GBP,108.52277279063466
LiveCartoon,HKD,61.71544944367173
LiveCartoon,JPY,9380.928859966896
LiveCartoon,KRW,58.199840597620536
LiveCartoon,NT$,118.13610204136005
LiveCartoon,Other,181.92579869997655
LiveCartoon,SGD,121.07239627111359
LiveCartoon,USD,514.42
M. Entertainment,AUD,778.5513090584783
M. Entertainment,CAD,153.69161649243568
M. Entertainment,EUR,621.260006
M. Entertainment,GBP,53.90662569648905
M. Entertainment,HKD,10211.850881282522
M. Entertainment,JPY,1498.5570247660398
M. Entertainment,NT$,138295.1336419877
M. Entertainment,Other,1716.281489044207
M. Entertainment,SGD,454.5987789257069
M. Entertainment,USD,3518.84
MAHA5,AUD,8.423223095583985
MAHA5,EUR,62.348
MAHA5,GBP,17.993630857197118
MAHA5,HKD,200.33323947102622
MAHA5,JPY,915.2637731464752
MAHA5,KRW,1042.9892577290666
MAHA5,NT$,47.83522570772213
MAHA5,Other,2026.3980788386534
MAHA5,SGD,289.9561605534534
MAHA5,USD,755.97
MAHA5JAPAN,JPY,3611.8031554022
MAHA5JAPAN,NT$,293.52570202284863
MAHA5JAPAN,Other,41.595612450049565
MAHA5JAPAN,SGD,15.51221915169018
MUSUBIME,HKD,41.83354226009699
MUSUBIME,JPY,5507.88506972708
MUSUBIME,NT$,299.4557795541043
MUSUBIME,Other,1.03930657465339
MUSUBIME,USD,110.0
MaRiNaSu,EUR,12.531199999999998
MaRiNaSu,HKD,6.431668362606734
MaRiNaSu,JPY,28721.7741722697
MaRiNaSu,KRW,655.0658576314338
MaRiNaSu,NT$,24.551031574268176
MaRiNaSu,Other,1.7276827388558311
MaRiNaSu,USD,88.99000000000001
MagicaLumina,Other,101.7508137633383
MagicaLumina,USD,21.99
Majinova,EUR,12.124310000000001
Majinova,JPY,4.390999018349317
Majinova,Other,62.38641477569941
Majinova,SGD,0.7166396933560477
Majinova,USD,10.0
MangaGamer,AUD,1665.1785316953951
MangaGamer,CAD,10502.917953101909
MangaGamer,EUR,2272.909404
MangaGamer,GBP,1488.58225236642
MangaGamer,HKD,7.643529092950331
MangaGamer,JPY,5793.113019623329
MangaGamer,KRW,10.514494532953936
MangaGamer,Other,6647.900724269837
MangaGamer,SGD,720.1056665526507
MangaGamer,USD,48317.270000000004
ManyVProject,GBP,58.01685379470861
ManyVProject,JPY,15.400528168319784
ManyVProject,Other,224.46332993239716
MarbleCreators,AUD,92.76314636992363
MarbleCreators,CAD,39.49373264900429
MarbleCreators,EUR,411.90733900000004
MarbleCreators,GBP,154.63568870524972
MarbleCreators,HKD,407.40120631971126
MarbleCreators,JPY,48776.47287365979
MarbleCreators,KRW,54.37282937082616
MarbleCreators,NT$,51.024304858159915
MarbleCreators,Other,388.11750950340615
MarbleCreators,SGD,34.877035424936075
MarbleCreators,USD,3707.42
